"age","current","former","qx","rate","current_rate","former_rate","current_excess_rate","former_excess_rate","current_excess_prob","former_excess_prob"
30,9.02832595428479,2.25934524773095,0.000109158319408165,0.000109164277611108,0.000985570680837118,0.000246639791842639,0.00087640640322601,0.000137475514231531,0.000876022471302473,0.000137466064906056
31,8.78773218802882,2.22160504910256,0.000114343988662169,0.000114350526434415,0.00100488180186575,0.000254041706894232,0.000890531275431335,0.000139691180459817,0.000890134870134229,0.000139681424101146
32,8.55434856255323,2.18499585294953,0.000119715035590828,0.000119722202007659,0.00102414544664993,0.000261592514892721,0.000904423244642268,0.000141870312885062,0.000904014377211881,0.000141860249768144
33,8.32795900355619,2.14948376526372,0.000125099942108409,0.000125107767758832,0.00104189236092198,0.000268917115705993,0.000916784593163151,0.000143809347947161,0.000916364474563891,0.000143799007878531
34,8.10835391207458,2.1150359077764,0.000130467962014769,0.000130476473699668,0.0010579494259564,0.000275962426994841,0.000927472952256728,0.000145485953295173,0.000927042982156956,0.000145475370727066
35,7.89532997043035,2.08162038751849,0.000136416216535373,0.000136425522073734,0.00107712451316036,0.000283986148126538,0.000940698991086626,0.000147560626052804,0.000940256672497752,0.000147549739519137
36,7.68868995399229,2.04920626729291,0.000142735952976758,0.000142746140722344,0.00109753081814306,0.000292516286200103,0.000954784677420713,0.000149770145477759,0.000954329015561806,0.000149758930489408
37,7.48824254857889,2.01776353703198,0.000148645072884701,0.000148656121658458,0.00111317309530959,0.000299952901839028,0.000964516973651129,0.000151296780180569,0.000964051976666047,0.000151285335399876
38,7.29380217333333,1.98726308601307,0.000154036756538578,0.000154048621418195,0.00112360016969903,0.000306135138795581,0.000969551548280836,0.000152086517377386,0.00096908168504295,0.000152074952809333
39,7.10518880890657,1.95767667590691,0.000159514417226392,0.000159527141004145,0.00113347045697951,0.000312302563117929,0.000973943315975369,0.000152775422113783,0.000973469187121379,0.00015276375254325
40,6.9222278307895,1.92897691463365,0.000165952047697426,0.000165965819262128,0.00114885321305608,0.000320144233974905,0.000982887393793954,0.000154178414712777,0.000982404518196534,0.000154166529831801
41,6.74474984763971,1.90113723100231,0.000174078722821158,0.00017409387628065,0.00117421964551892,0.000330976349886653,0.00100012576923827,0.000156882473606003,0.000999625810149007,0.000156870168194212
42,6.57259054445343,1.87413185011034,0.000183946892879594,0.000183963813184284,0.00120911881905662,0.000344772441556416,0.00102515500587234,0.000160808628372132,0.00102462971399653,0.000160795699357674
43,6.40559053043719,1.84793576948034,0.000195563016719302,0.000195582141659518,0.00125281911453683,0.000361423235444195,0.00105723697287731,0.000165841093784677,0.0010566782947713,0.000165827342910596
44,6.24359519143861,1.82252473591194,0.000208695292937877,0.000208717072830818,0.00130314491229764,0.000380392028041299,0.00109442783946682,0.000171674955210481,0.00109382917173839,0.000171660219908554
45,6.08645454679941,1.79787522302736,0.000223529623323282,0.00022355460979308,0.00136065497123306,0.000401923293940528,0.00113710036143998,0.000178368684147448,0.00113645410779895,0.000178352777399526
46,5.93402311049841,1.77396440948995,0.000240056530572685,0.000240085348753708,0.00142467200799657,0.000425902863929059,0.00118458665924287,0.000185817515175351,0.0011838853134285,0.000185800252170187
47,5.78615975645568,1.7507701578754,0.000258160230189763,0.000258193559278276,0.00149394918207202,0.000452037578540039,0.00123575562279374,0.000193844019261763,0.0012349923912357,0.000193825232723821
48,5.64272758787341,1.72827099417622,0.00027829964386139,0.00027833837639361,0.00157058763524012,0.00048104414248718,0.00129224925884651,0.00020270576609357,0.00129141466431315,0.000202685222667864
49,5.50359381049223,1.70644608792035,0.000301198345583953,0.000301243714915985,0.0016579230448613,0.000514056158828975,0.00135667932994532,0.000212812443912991,0.00135575945658128,0.000212789800951074
50,5.36862960964597,1.68527523288564,0.000325916056138187,0.000325969178318572,0.00175000778255305,0.000549347782904374,0.00142403860423448,0.000223378604585801,0.00142302514238801,0.00022335365744286
51,5.23771003100067,1.66473882839226,0.000353845032956879,0.00035390765088235,0.00185366565307437,0.000589163808088941,0.00149975800219202,0.000235256157206591,0.00149863392717653,0.00023522848664681
52,5.1107138648678,1.64481786115573,0.000387417257228573,0.000387492322682566,0.00198036238606362,0.000637354293409006,0.00159287006338105,0.00024986197072644,0.00159160211917442,0.000249830757823921
53,4.98752353398427,1.62549388768381,0.000426621672311334,0.000426712701227836,0.00212823963962383,0.000693618887642894,0.001701526938396,0.000266906186415058,0.00170008016212753,0.000266870570127642
54,4.8680249846555,1.60674901720086,0.000469118315677863,0.000469228386100296,0.00228421550704582,0.000753932248209397,0.00181498712094552,0.000284703862109101,0.0018133410278508,0.000284663337810409
55,4.75210758116072,1.58856589508403,0.000511682999122853,0.000511813953541988,0.00243219496877072,0.000813050191224926,0.00192038101522873,0.000301236237682938,0.00191853826339083,0.000301190870602985
56,4.63966400332277,1.57092768679573,0.000554179161155077,0.000554332775182157,0.00257191782287467,0.000870816704231962,0.00201758504769251,0.000316483929049805,0.00201555109110363,0.00031643385329394
57,4.53059014714752,1.55381806229765,0.000599207980762739,0.000599387577612338,0.00271557945345308,0.000931339244410886,0.00211619187584074,0.000331951666798547,0.00211395432045691,0.000331896576939883
58,4.42478502844091,1.53722118093191,0.000648475850964281,0.000648686202372378,0.00287029699641349,0.0009971741700651,0.00222161079404111,0.000348487967692723,0.0022191448432467,0.000348427252813921
59,4.32215068931447,1.52112167675521,0.000702202788753992,0.000702449448609177,0.00303609236851472,0.00106851108310416,0.00233364291990555,0.000366061634494988,0.00233092209215835,0.000365994642109513
60,4.22259210749263,1.50550464431257,0.000760705675756035,0.000760995159135675,0.0032133721528064,0.00114568174637814,0.00245237699367073,0.000384686587242467,0.00244937237386655,0.000384612604844237
61,4.12601710833797,1.49035562483733,0.000821035970280382,0.000821373204913106,0.00338899989580187,0.00122413817603291,0.00256762669088876,0.000402764971119806,0.00256433315693516,0.000402683872197107
62,4.03233627951285,1.47566059286476,0.000880731626945797,0.000881119698920053,0.00355297092854877,0.00130023361729319,0.00267185122962872,0.000419113918373132,0.00266828501197347,0.000419026102403519
