"stochastic_num","p_trans_hcv","rel_infect","sx_rel","sherlock_id_group","sherlock_id","edge_iter","scenario_id"
1,0.006,1.3,2,22,6,1,1
2,0.006,1.3,2,22,7,1,1
3,0.006,1.3,2,22,8,1,1
4,0.006,1.3,2,22,9,1,1
5,0.006,1.3,2,22,10,1,1
1,0.0065,1.3,2,23,1,1,1
2,0.0065,1.3,2,23,2,1,1
3,0.0065,1.3,2,23,3,1,1
4,0.0065,1.3,2,23,4,1,1
5,0.0065,1.3,2,23,5,1,1
1,0.007,1.3,2,23,6,1,1
2,0.007,1.3,2,23,7,1,1
3,0.007,1.3,2,23,8,1,1
4,0.007,1.3,2,23,9,1,1
5,0.007,1.3,2,23,10,1,1
1,0.0075,1.3,2,24,1,1,1
2,0.0075,1.3,2,24,2,1,1
3,0.0075,1.3,2,24,3,1,1
4,0.0075,1.3,2,24,4,1,1
5,0.0075,1.3,2,24,5,1,1
1,0.008,1.3,2,24,6,1,1
2,0.008,1.3,2,24,7,1,1
3,0.008,1.3,2,24,8,1,1
4,0.008,1.3,2,24,9,1,1
5,0.008,1.3,2,24,10,1,1
1,0.0085,1.3,2,25,1,1,1
2,0.0085,1.3,2,25,2,1,1
3,0.0085,1.3,2,25,3,1,1
4,0.0085,1.3,2,25,4,1,1
5,0.0085,1.3,2,25,5,1,1
1,0.009,1.3,2,25,6,1,1
2,0.009,1.3,2,25,7,1,1
3,0.009,1.3,2,25,8,1,1
4,0.009,1.3,2,25,9,1,1
5,0.009,1.3,2,25,10,1,1
1,0.0095,1.3,2,26,1,1,1
2,0.0095,1.3,2,26,2,1,1
3,0.0095,1.3,2,26,3,1,1
4,0.0095,1.3,2,26,4,1,1
5,0.0095,1.3,2,26,5,1,1
1,0.01,1.3,2,26,6,1,1
2,0.01,1.3,2,26,7,1,1
3,0.01,1.3,2,26,8,1,1
4,0.01,1.3,2,26,9,1,1
5,0.01,1.3,2,26,10,1,1
1,0.004,1.4,2,27,1,1,1
2,0.004,1.4,2,27,2,1,1
3,0.004,1.4,2,27,3,1,1
4,0.004,1.4,2,27,4,1,1
5,0.004,1.4,2,27,5,1,1
1,0.0045,1.4,2,27,6,1,1
2,0.0045,1.4,2,27,7,1,1
3,0.0045,1.4,2,27,8,1,1
4,0.0045,1.4,2,27,9,1,1
5,0.0045,1.4,2,27,10,1,1
1,0.005,1.4,2,28,1,1,1
2,0.005,1.4,2,28,2,1,1
3,0.005,1.4,2,28,3,1,1
4,0.005,1.4,2,28,4,1,1
5,0.005,1.4,2,28,5,1,1
1,0.0055,1.4,2,28,6,1,1
2,0.0055,1.4,2,28,7,1,1
3,0.0055,1.4,2,28,8,1,1
4,0.0055,1.4,2,28,9,1,1
5,0.0055,1.4,2,28,10,1,1
1,0.006,1.4,2,29,1,1,1
2,0.006,1.4,2,29,2,1,1
3,0.006,1.4,2,29,3,1,1
4,0.006,1.4,2,29,4,1,1
5,0.006,1.4,2,29,5,1,1
1,0.0065,1.4,2,29,6,1,1
2,0.0065,1.4,2,29,7,1,1
3,0.0065,1.4,2,29,8,1,1
4,0.0065,1.4,2,29,9,1,1
5,0.0065,1.4,2,29,10,1,1
1,0.007,1.4,2,30,1,1,1
2,0.007,1.4,2,30,2,1,1
3,0.007,1.4,2,30,3,1,1
4,0.007,1.4,2,30,4,1,1
5,0.007,1.4,2,30,5,1,1
1,0.0075,1.4,2,30,6,1,1
2,0.0075,1.4,2,30,7,1,1
3,0.0075,1.4,2,30,8,1,1
4,0.0075,1.4,2,30,9,1,1
5,0.0075,1.4,2,30,10,1,1
1,0.008,1.4,2,31,1,1,1
2,0.008,1.4,2,31,2,1,1
3,0.008,1.4,2,31,3,1,1
4,0.008,1.4,2,31,4,1,1
5,0.008,1.4,2,31,5,1,1
1,0.0085,1.4,2,31,6,1,1
2,0.0085,1.4,2,31,7,1,1
3,0.0085,1.4,2,31,8,1,1
4,0.0085,1.4,2,31,9,1,1
5,0.0085,1.4,2,31,10,1,1
1,0.009,1.4,2,32,1,1,1
2,0.009,1.4,2,32,2,1,1
3,0.009,1.4,2,32,3,1,1
4,0.009,1.4,2,32,4,1,1
5,0.009,1.4,2,32,5,1,1
1,0.0095,1.4,2,32,6,1,1
2,0.0095,1.4,2,32,7,1,1
3,0.0095,1.4,2,32,8,1,1
